"","Albania","Brasil","Bulgaria","Cameroon","ChristmasIsland","Croatia","Fiji","France","Germany","Greece","Israel","Italy","LaReunion","Liechtenstein","Malta","Mauritius","Montenegro","Serbia","Slovenia","Spain","Switzerland","TurkeyEast","TurkeyWest","USA","Vanuatu","Indonesia","Guangzhou","Hongkong","Japan","Malaysia","Philippines","Singapore","SriLanka","Taiwan","Thailand","Vietnam"
"Albania",0,0.1202,0.0617,0.0745,0.1101,0.022,0.1118,0.0404,0.0368,0.0315,0.0589,0.0377,0.0736,0.0249,0.0573,0.0744,0.0128,0.0565,0.0495,0.0472,0.044,0.0944,0.0928,0.0668,0.1741,0.1618,0.0554,0.0525,0.1077,0.0761,0.1381,0.1164,0.1416,0.0658,0.0346,0.073
"Brasil",0.1202,0,0.1053,0.0735,0.1024,0.0834,0.104,0.1018,0.0871,0.0904,0.1006,0.0873,0.1037,0.0724,0.1,0.0975,0.1483,0.115,0.0943,0.1017,0.0995,0.1579,0.1442,0.1191,0.1744,0.1545,0.0835,0.0794,0.1451,0.0661,0.1465,0.1108,0.1078,0.0948,0.0374,0.0787
"Bulgaria",0.0617,0.1053,0,0.0507,0.0846,0.0123,0.0782,0.0144,0.037,0.0353,0.0588,0.0134,0.0624,0.1065,0.0238,0.0422,0.0761,0.0552,0.029,0.0112,0.0154,0.0921,0.0795,0.0549,0.1512,0.1357,0.0261,0.0243,0.0791,0.0395,0.112,0.1051,0.1309,0.0355,0.0972,0.0497
"Cameroon",0.0745,0.0735,0.0507,0,0.0549,0.052,0.0491,0.0586,0.0385,0.0424,0.0558,0.0547,0.059,0.0014,0.0543,0.0507,0.1034,0.0772,0.0489,0.0592,0.06,0.1138,0.101,0.0765,0.1222,0.1045,0.0397,0.031,0.1149,0.0167,0.1087,0.0459,0.0778,0.0507,-0.0558,0.0334
"ChristmasIsland",0.1101,0.1024,0.0846,0.0549,0,0.0865,0.055,0.0975,0.0663,0.0773,0.0863,0.0929,0.0971,0.0051,0.0969,0.0701,0.1338,0.1164,0.0801,0.0948,0.1003,0.1465,0.1359,0.1114,0.1303,0.1189,0.0647,0.069,0.1193,0.0398,0.1131,0.0245,0.0923,0.0758,-0.0423,0.0532
"Croatia",0.022,0.0834,0.0123,0.052,0.0865,0,0.0925,0.0133,0.0055,0.0208,0.0303,0.0107,0.0454,-0.0134,0.0191,0.0513,0.046,0.0269,0.0175,0.017,0.013,0.0662,0.0614,0.0457,0.1499,0.1396,0.0287,0.0257,0.074,0.0547,0.1095,0.084,0.1088,0.0372,-0.0166,0.0443
"Fiji",0.1118,0.104,0.0782,0.0491,0.055,0.0925,0,0.1066,0.0506,0.0836,0.0926,0.0994,0.1025,-0.0354,0.0993,0.065,0.1359,0.1126,0.0848,0.1048,0.1088,0.1509,0.138,0.1166,0.1319,0.1168,0.0708,0.0751,0.1183,0.0363,0.1041,0.0275,0.0798,0.0811,-0.1067,0.0589
"France",0.0404,0.1018,0.0144,0.0586,0.0975,0.0133,0.1066,0,0.0127,0.0273,0.0428,0.0076,0.055,0.0212,0.0202,0.0667,0.0671,0.0347,0.0198,0.0155,0.0097,0.0731,0.0699,0.0463,0.1645,0.1493,0.0381,0.0317,0.075,0.0633,0.1284,0.1048,0.1287,0.043,0.0267,0.0536
"Germany",0.0368,0.0871,0.037,0.0385,0.0663,0.0055,0.0506,0.0127,0,0.0219,0.0355,0.0041,0.0406,-0.0866,0.0192,0.013,0.0583,0.0452,0.0102,0.0092,0.0115,0.0847,0.073,0.0389,0.1343,0.1241,0.0088,0.0181,0.0263,0.026,0.0615,0.0469,0.0916,0.0353,-0.0818,0.0315
"Greece",0.0315,0.0904,0.0353,0.0424,0.0773,0.0208,0.0836,0.0273,0.0219,0,0.0414,0.0224,0.0509,-0.0071,0.0247,0.0578,0.0608,0.0424,0.028,0.031,0.0239,0.0888,0.0861,0.0544,0.1457,0.1321,0.0337,0.028,0.0886,0.0467,0.1126,0.0886,0.1084,0.0414,-0.0159,0.0433
"Israel",0.0589,0.1006,0.0588,0.0558,0.0863,0.0303,0.0926,0.0428,0.0355,0.0414,0,0.0275,0.066,0.0344,0.0445,0.0667,0.0912,0.0422,0.0356,0.0397,0.0326,0.0956,0.0922,0.039,0.1565,0.1364,0.0403,0.0303,0.0952,0.0512,0.1229,0.0986,0.1304,0.0376,0.0372,0.0524
"Italy",0.0377,0.0873,0.0134,0.0547,0.0929,0.0107,0.0994,0.0076,0.0041,0.0224,0.0275,0,0.047,-0.0185,0.0127,0.0573,0.0646,0.0192,0.0173,0.0159,0.0012,0.0644,0.0619,0.0306,0.157,0.1451,0.0337,0.0245,0.0691,0.0586,0.1192,0.0966,0.1177,0.0382,0.0024,0.0464
"LaReunion",0.0736,0.1037,0.0624,0.059,0.0971,0.0454,0.1025,0.055,0.0406,0.0509,0.066,0.047,0,0.0463,0.06,0.0329,0.0977,0.0764,0.0506,0.0523,0.0526,0.1097,0.0999,0.0798,0.1606,0.1444,0.0372,0.0303,0.1037,0.057,0.1201,0.0995,0.1187,0.0504,0.0116,0.0508
"Liechtenstein",0.0249,0.0724,0.1065,0.0014,0.0051,-0.0134,-0.0354,0.0212,-0.0866,-0.0071,0.0344,-0.0185,0.0463,0,0.0367,-0.0489,0.0569,0.0253,0.0036,-0.0027,-0.0057,0.0904,0.0938,0.0246,0.0962,0.0778,-0.031,-0.0157,-0.016,-0.0319,0.0103,-0.0312,0.058,-1e-04,NA,0.012
"Malta",0.0573,0.1,0.0238,0.0543,0.0969,0.0191,0.0993,0.0202,0.0192,0.0247,0.0445,0.0127,0.06,0.0367,0,0.0603,0.082,0.0488,0.0311,0.0176,0.0149,0.0841,0.0733,0.0595,0.1581,0.1418,0.0337,0.0278,0.0959,0.0544,0.1179,0.1069,0.1251,0.0452,0.0549,0.0508
"Mauritius",0.0744,0.0975,0.0422,0.0507,0.0701,0.0513,0.065,0.0667,0.013,0.0578,0.0667,0.0573,0.0329,-0.0489,0.0603,0,0.096,0.075,0.0423,0.0625,0.0676,0.1082,0.095,0.0752,0.1384,0.1278,0.0312,0.0345,0.0891,0.0433,0.074,0.0316,0.0855,0.0407,-0.0841,0.036
"Montenegro",0.0128,0.1483,0.0761,0.1034,0.1338,0.046,0.1359,0.0671,0.0583,0.0608,0.0912,0.0646,0.0977,0.0569,0.082,0.096,0,0.0896,0.0691,0.0657,0.07,0.117,0.1124,0.0989,0.1912,0.1838,0.0735,0.0722,0.1231,0.1025,0.1517,0.1308,0.162,0.0852,0.0737,0.0965
"Serbia",0.0565,0.115,0.0552,0.0772,0.1164,0.0269,0.1126,0.0347,0.0452,0.0424,0.0422,0.0192,0.0764,0.0253,0.0488,0.075,0.0896,0,0.0329,0.0364,0.0209,0.0893,0.0966,0.0431,0.167,0.1555,0.0504,0.0428,0.085,0.0716,0.1328,0.122,0.1472,0.056,0.0664,0.0687
"Slovenia",0.0495,0.0943,0.029,0.0489,0.0801,0.0175,0.0848,0.0198,0.0102,0.028,0.0356,0.0173,0.0506,0.0036,0.0311,0.0423,0.0691,0.0329,0,0.021,0.0196,0.0837,0.0777,0.0423,0.1521,0.1391,0.0262,0.0244,0.0801,0.0512,0.1098,0.0911,0.1173,0.036,0.0089,0.0431
"Spain",0.0472,0.1017,0.0112,0.0592,0.0948,0.017,0.1048,0.0155,0.0092,0.031,0.0397,0.0159,0.0523,-0.0027,0.0176,0.0625,0.0657,0.0364,0.021,0,0.0196,0.0757,0.0677,0.053,0.1622,0.1506,0.0374,0.0337,0.0848,0.065,0.1233,0.0969,0.1216,0.0451,0.0047,0.0547
"Switzerland",0.044,0.0995,0.0154,0.06,0.1003,0.013,0.1088,0.0097,0.0115,0.0239,0.0326,0.0012,0.0526,-0.0057,0.0149,0.0676,0.07,0.0209,0.0196,0.0196,0,0.0717,0.0703,0.0349,0.1637,0.1502,0.0386,0.0307,0.071,0.066,0.1233,0.1068,0.1267,0.0441,0.0132,0.0541
"TurkeyEast",0.0944,0.1579,0.0921,0.1138,0.1465,0.0662,0.1509,0.0731,0.0847,0.0888,0.0956,0.0644,0.1097,0.0904,0.0841,0.1082,0.117,0.0893,0.0837,0.0757,0.0717,0,0.1013,0.095,0.2,0.1925,0.0873,0.0806,0.1275,0.1117,0.1713,0.158,0.181,0.0932,0.0989,0.1056
"TurkeyWest",0.0928,0.1442,0.0795,0.101,0.1359,0.0614,0.138,0.0699,0.073,0.0861,0.0922,0.0619,0.0999,0.0938,0.0733,0.095,0.1124,0.0966,0.0777,0.0677,0.0703,0.1013,0,0.1101,0.1899,0.1826,0.0797,0.0714,0.14,0.1018,0.1645,0.1357,0.1637,0.0891,0.094,0.0951
"USA",0.0668,0.1191,0.0549,0.0765,0.1114,0.0457,0.1166,0.0463,0.0389,0.0544,0.039,0.0306,0.0798,0.0246,0.0595,0.0752,0.0989,0.0431,0.0423,0.053,0.0349,0.095,0.1101,0,0.1719,0.158,0.0606,0.05,0.0888,0.0791,0.1374,0.114,0.1433,0.06,0.0426,0.0718
"Vanuatu",0.1741,0.1744,0.1512,0.1222,0.1303,0.1499,0.1319,0.1645,0.1343,0.1457,0.1565,0.157,0.1606,0.0962,0.1581,0.1384,0.1912,0.167,0.1521,0.1622,0.1637,0.2,0.1899,0.1719,0,0.1883,0.1312,0.1316,0.1889,0.1158,0.175,0.1085,0.1665,0.1427,0.0653,0.1284
"Indonesia",0.1618,0.1545,0.1357,0.1045,0.1189,0.1396,0.1168,0.1493,0.1241,0.1321,0.1364,0.1451,0.1444,0.0778,0.1418,0.1278,0.1838,0.1555,0.1391,0.1506,0.1502,0.1925,0.1826,0.158,0.1883,0,0.1224,0.1227,0.182,0.0971,0.1395,0.098,0.1346,0.1279,0.0163,0.1114
"Guangzhou",0.0554,0.0835,0.0261,0.0397,0.0647,0.0287,0.0708,0.0381,0.0088,0.0337,0.0403,0.0337,0.0372,-0.031,0.0337,0.0312,0.0735,0.0504,0.0262,0.0374,0.0386,0.0873,0.0797,0.0606,0.1312,0.1224,0,0.0134,0.0747,0.037,0.0803,0.0468,0.0903,0.0231,-0.0424,0.023
"Hongkong",0.0525,0.0794,0.0243,0.031,0.069,0.0257,0.0751,0.0317,0.0181,0.028,0.0303,0.0245,0.0303,-0.0157,0.0278,0.0345,0.0722,0.0428,0.0244,0.0337,0.0307,0.0806,0.0714,0.05,0.1316,0.1227,0.0134,0,0.0885,0.0371,0.0941,0.0586,0.0929,0.0247,-0.0333,0.0255
"Japan",0.1077,0.1451,0.0791,0.1149,0.1193,0.074,0.1183,0.075,0.0263,0.0886,0.0952,0.0691,0.1037,-0.016,0.0959,0.0891,0.1231,0.085,0.0801,0.0848,0.071,0.1275,0.14,0.0888,0.1889,0.182,0.0747,0.0885,0,0.0975,0.1065,0.1055,0.1559,0.0818,0.0071,0.0982
"Malaysia",0.0761,0.0661,0.0395,0.0167,0.0398,0.0547,0.0363,0.0633,0.026,0.0467,0.0512,0.0586,0.057,-0.0319,0.0544,0.0433,0.1025,0.0716,0.0512,0.065,0.066,0.1117,0.1018,0.0791,0.1158,0.0971,0.037,0.0371,0.0975,0,0.0902,0.0195,0.0564,0.044,-0.1095,0.0214
"Philippines",0.1381,0.1465,0.112,0.1087,0.1131,0.1095,0.1041,0.1284,0.0615,0.1126,0.1229,0.1192,0.1201,0.0103,0.1179,0.074,0.1517,0.1328,0.1098,0.1233,0.1233,0.1713,0.1645,0.1374,0.175,0.1395,0.0803,0.0941,0.1065,0.0902,0,0.0855,0.1316,0.0996,-0.0547,0.0956
"Singapore",0.1164,0.1108,0.1051,0.0459,0.0245,0.084,0.0275,0.1048,0.0469,0.0886,0.0986,0.0966,0.0995,-0.0312,0.1069,0.0316,0.1308,0.122,0.0911,0.0969,0.1068,0.158,0.1357,0.114,0.1085,0.098,0.0468,0.0586,0.1055,0.0195,0.0855,0,0.0765,0.0661,-0.0973,0.0564
"SriLanka",0.1416,0.1078,0.1309,0.0778,0.0923,0.1088,0.0798,0.1287,0.0916,0.1084,0.1304,0.1177,0.1187,0.058,0.1251,0.0855,0.162,0.1472,0.1173,0.1216,0.1267,0.181,0.1637,0.1433,0.1665,0.1346,0.0903,0.0929,0.1559,0.0564,0.1316,0.0765,0,0.106,-0.0244,0.0741
"Taiwan",0.0658,0.0948,0.0355,0.0507,0.0758,0.0372,0.0811,0.043,0.0353,0.0414,0.0376,0.0382,0.0504,-1e-04,0.0452,0.0407,0.0852,0.056,0.036,0.0451,0.0441,0.0932,0.0891,0.06,0.1427,0.1279,0.0231,0.0247,0.0818,0.044,0.0996,0.0661,0.106,0,-0.008,0.0328
"Thailand",0.0346,0.0374,0.0972,-0.0558,-0.0423,-0.0166,-0.1067,0.0267,-0.0818,-0.0159,0.0372,0.0024,0.0116,NA,0.0549,-0.0841,0.0737,0.0664,0.0089,0.0047,0.0132,0.0989,0.094,0.0426,0.0653,0.0163,-0.0424,-0.0333,0.0071,-0.1095,-0.0547,-0.0973,-0.0244,-0.008,0,-0.0468
"Vietnam",0.073,0.0787,0.0497,0.0334,0.0532,0.0443,0.0589,0.0536,0.0315,0.0433,0.0524,0.0464,0.0508,0.012,0.0508,0.036,0.0965,0.0687,0.0431,0.0547,0.0541,0.1056,0.0951,0.0718,0.1284,0.1114,0.023,0.0255,0.0982,0.0214,0.0956,0.0564,0.0741,0.0328,-0.0468,0
