"","LD1","LD2","LD3","1","2","3","4"
"ALKR1_ALKR1",2.09008772378287,-0.888127558141123,1.47152610384919,0,0,1,0
"ALKR3_ALKR3",5.25026945562571,0.847532000612926,1.45366583025264,0,0,1,0
"ALKR5_ALKR5",4.33413924991099,0.611879878812748,1.38067428742061,0,0,1,0
"ALSH2_ALSH2",3.31818364918589,0.119864490412139,0.41429765206099,0,0,1,0
"ALTI3_ALTI3",4.20962223232571,0.804169517592315,2.05843243380074,0,0,1,0
"ALVL3_ALVL3",3.28238813706318,-1.06023815880654,1.74050605361512,0,0,1,0
"BRB8_BRB8",-7.86036001721812,18.1188454539948,0.570195582308412,1,0,0,0
"BRI3_BRI3",-4.25860389741809,13.4395028152255,-0.906574163013062,1,0,0,0
"BRI4_BRI4",-3.41806309032659,11.4333716546321,0.142301791837561,1,0,0,0
"BRI5_BRI5",-5.22470553679342,18.456724670947,-0.236307611474008,1,0,0,0
"BRR1_BRR1",-5.35225174678882,15.7705875676873,0.522318103110042,1,0,0,0
"BRR2_BRR2",-3.84941885579382,10.4936921406239,-0.403015647549144,1,0,0,0
"BRR4_BRR4",-7.16330483655336,19.2080370254985,-0.529306352895001,1,0,0,0
"BRR5_BRR5",-6.41497282637302,16.9669457373045,-0.509558306961621,1,0,0,0
"BGL6_BGL6",2.61041474531674,-0.451789460107079,0.710829278442837,0,0,1,0
"BGL7_BGL7",5.2208064413768,0.749586082980058,2.32008811248497,0,0,1,0
"BGL9_BGL9",2.43039391730844,-0.555441328244252,0.88383463312867,0,0,1,0
"CAYA10_CAYA10",-8.39089958221811,-2.68056705686398,4.26281067096324,0,0,0,1
"CAYA2_CAYA2",-7.39690709776248,-2.61516434698345,1.32403539413856,0,0,0,1
"CAYA23_CAYA23",-5.31204350007394,-3.05719126831701,1.42351371109876,0,0,0,1
"CAYA3_CAYA3",-6.16013646580289,-1.75531196040862,3.2914143571048,0,0,0,1
"CAYA38_CAYA38",-4.76549117132992,0.624262766490022,0.945107923876027,0,0,0,1
"CAYA4_CAYA4",-4.44959523650786,-1.3273264969867,0.731066173426724,0,0,0,1
"CAYA59_CAYA59",-7.24358815385532,-3.71977414681604,3.42199099560165,0,0,0,1
"CAYA60_CAYA60",-9.49443282080166,-2.77527196825286,2.90010256693042,0,0,0,1
"xmas04_xmas04",-7.87192311981044,-3.79739136611814,1.73089782870977,0,0,0,1
"xmas05_xmas05",-7.53250164179711,-2.94605498360582,2.77346226413359,0,0,0,1
"xmas06_xmas06",-6.82452464289046,-2.19868231258902,3.34534046284415,0,0,0,1
"xmas07_xmas07",-7.52460167229194,-2.62398294711309,1.87200967660674,0,0,0,1
"HRB2_HRB2",-5.9616947663972,14.9177778078091,0.395192043896162,1,0,0,0
"HRK1_HRK1",4.28701921355187,-0.417624529601875,2.44749098746979,0,0,1,0
"HRKZ1_HRKZ1",4.88309582051878,-0.637426557227281,0.706105649310075,0,0,1,0
"HRPL1_HRPL1",4.66294894329953,0.125220294776197,1.43739451490764,0,0,1,0
"HRPL2_HRPL2",5.43141687417675,-0.314843085942832,2.21143065885913,0,0,1,0
"HRVG1_HRVG1",3.08195300983292,0.605865259162949,0.427527888649042,0,0,1,0
"HRVR2_HRVR2",4.75021688361373,0.0760425241557221,1.8235256727047,0,0,1,0
"HRVV1_HRVV1",5.03006733192679,-0.848993998293815,0.0481643530875537,0,0,1,0
"HRZB1_HRZB1",3.171294069442,-0.384206809851602,-0.665199784761036,0,0,1,0
"HRZM2_HRZM2",4.70367014458664,1.31216232582687,-0.360780639944925,0,0,1,0
"alb_nadi18_01_alb_nadi18_01",-7.63664043332493,-3.39341807889165,2.41254736355972,0,0,0,1
"alb_nadi18_06_alb_nadi18_06",-7.74307593123916,-3.23184867338844,3.99767332607356,0,0,0,1
"alb_nadi18_08_alb_nadi18_08",-8.19274504404915,-2.42291710309862,2.7095012991312,0,0,0,1
"alb_nadi18_09_alb_nadi18_09",-7.87161845619297,-2.80246485454266,2.34968666921115,0,0,0,1
"alb_nadi18_18_alb_nadi18_18",-8.19311058538577,-3.43538476847267,3.23218082054459,0,0,0,1
"CO2_CO2",3.22734089485012,-0.159310483492173,-0.191146658924025,0,0,1,0
"CO3_CO3",1.57209269699004,0.0102886403952486,0.0719062497385637,0,0,1,0
"CO4_CO4",2.64245573670857,0.255773787394965,0.210447756284369,0,0,1,0
"FRGR1_FRGR1",4.37162170439148,-0.0759652463876697,1.31544382749309,0,0,1,0
"FRGR2_FRGR2",4.22355341587888,-1.00771681553745,0.977162278438919,0,0,1,0
"FRGR3_FRGR3",4.23917629668486,-0.265673805135673,0.856813836671707,0,0,1,0
"FRGR7_FRGR7",4.82344484546274,0.200420739081913,0.610641676162042,0,0,1,0
"FRGR8_FRGR8",2.53296806557935,0.165745030678278,2.13924224043379,0,0,1,0
"FRGR9_FRGR9",3.45730903137727,-0.0429814881131854,0.343078710587484,0,0,1,0
"FRMA3_FRMA3",3.83828913060744,1.18213997485232,0.684737654328372,0,0,1,0
"FRMA9_FRMA9",5.85290659508814,0.233968326858495,0.881161784657724,0,0,1,0
"FRMB1_FRMB1",5.04255831550005,-0.31778793216759,2.56488951524828,0,0,1,0
"FRSL1_FRSL1",3.4086856637307,-0.446905745471215,2.75088228468697,0,0,1,0
"FRST1_FRST1",5.03497653010734,1.26351341473429,1.68986815018201,0,0,1,0
"FRST4_FRST4",3.74971195468343,-0.865557866641693,1.78408046799276,0,0,1,0
"FRST5_FRST5",4.6379904004538,0.163353105180755,1.86631887656199,0,0,1,0
"FRST9_FRST9",4.79245326069627,-0.566290979632777,2.98414950792458,0,0,1,0
"DEFR2_DEFR2",4.43539952304849,0.686903236061678,0.74454422847329,0,0,1,0
"DELO6_DELO6",3.68556771327838,0.408947676752508,0.2286846857164,0,0,1,0
"AT1_AT1",-1.27160677737561,-1.82343775749973,-5.0308524296804,0,1,0,0
"AT2_AT2",-2.40560580889563,-0.561165036730498,-4.54491435910881,0,1,0,0
"AT5_AT5",-0.241180875406721,-0.534641758253951,-0.894388216534644,0,0.934,0.066,0
"GRIM2_GRIM2",4.4156113476036,-0.0964902931185419,1.4971769760273,0,0,1,0
"GRKI2_GRKI2",3.47777007792518,0.0764964712093362,0.183718398516531,0,0,1,0
"GRKO1_GRKO1",2.61457080079007,-0.638610482773397,0.67299537334616,0,0,1,0
"GRKO3_GRKO3",4.77979799370715,-0.347560351310458,1.76153105646203,0,0,1,0
"GRTH34_GRTH34",4.1509240089433,-0.420448956288046,0.905150990083924,0,0,1,0
"ILJ10_ILJ10",4.3457463023553,-0.46160321568833,0.360477281973275,0,0,1,0
"ILJ12_ILJ12",1.8869829270352,0.197486082848175,0.431612027277287,0,0,1,0
"ILJ21_ILJ21",2.74359147071612,-0.209615037229547,-0.203122316736749,0,0,1,0
"ILJ7_ILJ7",2.09149303775306,0.386438872338878,1.05993166158856,0,0,1,0
"ILT1_ILT1",2.49990303526735,0.145662158756022,1.92511261283138,0,0,1,0
"IAG1_IAG1",4.88803976460089,0.103039716138257,1.02533775751784,0,0,1,0
"IAG4_IAG4",4.62993111101379,-0.280933056362876,2.22809973795489,0,0,1,0
"IAG6_IAG6",2.61542245288091,0.414558662511152,0.474526245989133,0,0,1,0
"IBA2_IBA2",2.32572343083431,0.760738692427873,0.511874680499988,0,0,1,0
"IBA3_IBA3",3.83125780125843,0.536115946639175,0.799759431871348,0,0,1,0
"IBA5_IBA5",2.58815466319834,-0.671785675088402,-0.583870679113021,0,0,1,0
"IC14_IC14",4.6754514854446,-0.148513891857429,1.41285101510245,0,0,1,0
"IC19_IC19",5.53627350961013,0.106201503147678,0.388250071931042,0,0,1,0
"IC7_IC7",4.16176233525849,-0.237571685947206,1.38762255070658,0,0,1,0
"IGE1_IGE1",3.07549207712802,-0.413618568981516,1.36145249269064,0,0,1,0
"IMS1_IMS1",4.5679608262271,0.464723980112017,0.449209435354183,0,0,1,0
"IMS2_IMS2",4.66138646331969,0.0086338304523604,0.345632899436799,0,0,1,0
"IMS3_IMS3",-7.4697155739714,19.4647928555396,-1.0833452538116,1,0,0,0
"IMS5_IMS5",4.56145184119872,0.512676457450013,2.3696212943505,0,0,1,0
"IPA4_IPA4",4.27370079146071,0.885200890617844,1.64659169455787,0,0,1,0
"IPA6_IPA6",4.7838868386169,0.524237114265985,2.58379105661972,0,0,1,0
"IPC2_IPC2",4.66852573851718,0.456466469094253,1.40596475165872,0,0,1,0
"IPR1_IPR1",4.03145204608159,0.366696105777562,1.75078732480378,0,0,1,0
"IRE2_IRE2",3.28925970742787,-0.539910491182836,0.811783845992524,0,0,1,0
"IRO1_IRO1",2.5828175904463,-0.415255556607518,-0.348706203304317,0,0,1,0
"IRO2_IRO2",3.744770147711,0.260217342382559,2.42906926345009,0,0,1,0
"IRO4_IRO4",3.04220885601806,0.117737716888484,0.324761102393859,0,0,1,0
"IVA1_IVA1",4.08027097691693,1.34515486868186,2.13972298834535,0,0,1,0
"IVA2_IVA2",5.38572281887298,0.340813826409084,0.940180870394248,0,0,1,0
"IVA5_IVA5",5.85605014080953,1.26587986671428,2.41377513197545,0,0,1,0
"IVA6_IVA6",5.71436460819099,0.546936939793039,1.7030996564195,0,0,1,0
"LRE17_LRE17",-0.259601595426783,-0.603631238099428,-4.34499233764815,0,1,0,0
"LRE18_LRE18",-2.28126907858324,-1.98803429655514,-5.67881398804074,0,1,0,0
"LRE4_LRE4",-0.903626313440281,0.0704950840450184,-3.79844881991116,0,1,0,0
"LRE56_LRE56",-0.882949141331136,-1.1407052104444,-2.97553891117707,0,1,0,0
"LRE57_LRE57",-1.36320036596015,-1.72432700710891,-7.39735852471101,0,1,0,0
"LRE6_LRE6",-1.727039589254,-2.04225047138001,-4.78956147826931,0,1,0,0
"LRE8_LRE8",0.00968987849250757,-0.63133496330542,-4.41533371450067,0,1,0,0
"LIVD1_LIVD1",4.13986018764179,0.407120904384294,1.27964706929273,0,0,1,0
"MMS1_MMS1",3.1624157425463,0.0194030869420216,0.692483564637605,0,0,1,0
"MMS10_MMS10",5.33593996599757,1.01629623476963,0.754411693457497,0,0,1,0
"MMS13_MMS13",3.11914999649305,1.91278193306518,1.46832001615371,0,0,1,0
"MMS2_MMS2",2.94154883565493,-0.00185623837950082,1.37186709379287,0,0,1,0
"MMS3_MMS3",3.02397517461265,1.01715649114654,0.0334898718026631,0,0,1,0
"MMS6_MMS6",3.50353100634467,0.985302581016234,1.40558128025104,0,0,1,0
"alb_mrts17_10_alb_mrts17_10",-1.62543814264322,-3.37909363466908,-5.60094131479164,0,1,0,0
"alb_mrts17_11_alb_mrts17_11",-1.8619855959437,-1.88282255663896,-5.29652644615772,0,1,0,0
"alb_mrts17_12_alb_mrts17_12",-1.64972338665136,-3.78916407820724,-3.25473595374414,0,1,0,0
"alb_mrts17_13_alb_mrts17_13",-1.57638726003655,-1.05542227345017,-6.1565894513819,0,1,0,0
"MOGK3_MOGK3",5.84567537087104,-0.0780448773254879,1.15716319727296,0,0,1,0
"MOKA2_MOKA2",3.04977227252158,-0.435275391320113,0.337929316045483,0,0,1,0
"MOKR5_MOKR5",4.02560564694991,0.237279273017725,2.07861271605964,0,0,1,0
"MOKR6_MOKR6",4.21121222157473,0.398248766693578,0.0211108324696871,0,0,1,0
"MORA15_MORA15",5.5236875264925,1.58692725421429,0.558085299061616,0,0,1,0
"SRB13_SRB13",4.88437554910806,0.634845791804168,1.79251026663244,0,0,1,0
"SRB26_SRB26",3.34475443365471,-0.258330329636985,0.714169439803952,0,0,1,0
"SRB4_SRB4",2.94621820790317,-0.0487479827133783,1.02779661678385,0,0,1,0
"SRB7_SRB7",5.38509982240083,2.03256312891033,0.415892886554011,0,0,1,0
"SLBA1_SLBA1",5.00938351142517,0.0116547949877574,0.419579702133651,0,0,1,0
"SLBA2_SLBA2",4.30709251063108,0.466452827405375,-0.328772652504344,0,0,1,0
"SLBA3_SLBA3",3.94854652319967,-0.191104066588189,1.70441801479,0,0,1,0
"SLBA4_SLBA4",3.13699553465186,-1.38200671319426,-0.580634631497238,0,0,1,0
"BAR1_BAR1",2.32524465865473,0.0821755313799671,1.61332460207605,0,0,1,0
"BAR2_BAR2",5.25499077955533,-0.0616306058349869,1.77895294051622,0,0,1,0
"BAR3_BAR3",4.84016194160119,-2.05748425622435,2.53360586789477,0,0,1,0
"BAR5_BAR5",4.46583029978063,-0.051660799093602,1.67989686574053,0,0,1,0
"ESMI1_ESMI1",3.10378651565621,-0.43172909643574,1.02345184904076,0,0,1,0
"ESMI2_ESMI2",4.00033554678996,-0.0269953205302416,0.652448823229188,0,0,1,0
"ESPV1_ESPV1",4.32117425138017,0.00141623507303804,1.59209885936685,0,0,1,0
"ESPV3_ESPV3",4.62761285570698,-0.0362368331797007,1.45383524512804,0,0,1,0
"ESPV4_ESPV4",4.45128593699964,-0.784219319603331,0.303171893759766,0,0,1,0
"ESPV5_ESPV5",3.91576516984373,0.168775315829876,1.65011432062634,0,0,1,0
"ESVA1_ESVA1",4.62870273896546,-1.29500313110412,1.57189308340683,0,0,1,0
"ESZA13_ESZA13",4.67461217384875,0.560300022683731,1.80689961784335,0,0,1,0
"ESZA2_ESZA2",3.71494926575907,-1.03260487896009,0.786575725253013,0,0,1,0
"ESZA71_ESZA71",2.23968140805239,0.132698377170683,0.624685123048188,0,0,1,0
"ESZA72_ESZA72",4.20316234678925,0.0528265579999584,1.69526051138332,0,0,1,0
"ESZA95_ESZA95",4.62107092534543,0.467767628113618,1.60379804084193,0,0,1,0
"MAB4_MAB4",4.13612409051591,-0.390489505904888,1.56285681592352,0,0,1,0
"MAB5_MAB5",4.87527020009994,0.00034278693914344,1.99647481048404,0,0,1,0
"Mall4_Mall4",4.10750747114055,0.816496506252923,0.778899661894263,0,0,1,0
"Mall5_Mall5",3.2055994938896,-0.0805378477639995,0.729322475186078,0,0,1,0
"Mall6_Mall6",4.30890129686907,0.660736339864117,0.781500853577679,0,0,1,0
"Mall8_Mall8",3.54302794388136,0.417425286630737,0.626575272954737,0,0,1,0
"MAT1_MAT1",5.18076523162154,1.13258946026768,1.61280324105394,0,0,1,0
"MAT3_MAT3",5.91914567901973,-0.315740645952815,1.53293858701374,0,0,1,0
"MAT4_MAT4",3.04202824290387,-0.274353092541328,0.876660591988559,0,0,1,0
"MUR1_MUR1",4.52682895543106,1.2984837664217,1.95162401403697,0,0,1,0
"MUR2_MUR2",4.65580504501734,0.792738767726314,0.853426342833561,0,0,1,0
"MUR3_MUR3",3.99453986422366,1.57126068395861,1.16279258183279,0,0,1,0
"MUR4_MUR4",3.43186886498571,0.21081544081589,1.86223239345614,0,0,1,0
"MUR5_MUR5",4.47284250125728,-0.502483780568209,1.27425739381544,0,0,1,0
"Val1_Val1",3.45944285990916,-0.608028097515171,1.45768668118091,0,0,1,0
"Val10_Val10",4.43056125260089,1.57572524960634,0.0888983350896107,0,0,1,0
"Val4_Val4",5.0438478431276,0.168025336882743,1.27739318635385,0,0,1,0
"Val8_Val8",2.87189286536403,1.53263450463137,-0.824163018153946,0,0,1,0
"AAM1_AAM1",4.84853754076111,-0.0113082864678947,1.10465110103186,0,0,1,0
"AAM3_AAM3",3.00579971914172,0.99222101540482,0.517365302207105,0,0,1,0
"AAM4_AAM4",5.5684145489504,-0.28348227420133,1.12496561373655,0,0,1,0
"AAM5_AAM5",3.21153250157742,-0.531388078138985,0.962600372762769,0,0,1,0
"AAM6_AAM6",3.46365518935824,-0.21046220162396,1.71919709641734,0,0,1,0
"AAM7_AAM7",4.67404314493155,0.53059342710413,0.187833550782209,0,0,1,0
"AAM8_AAM8",3.83548828893237,-0.283405618659093,1.94905166066678,0,0,1,0
"CHBA1_CHBA1",6.05415457715092,-0.347156325464498,0.442716962045824,0,0,1,0
"CHBA4_CHBA4",3.95077003951215,0.553091064462249,2.39684535629631,0,0,1,0
"CHBA5_CHBA5",5.73933468747893,1.59623182938576,1.74331568129844,0,0,1,0
"CHBA6_CHBA6",3.17710087028938,-0.21325989039818,2.12527780450291,0,0,1,0
"CHBA7_CHBA7",3.61374900003258,1.07723008149615,-0.338743557693728,0,0,1,0
"CHBE1_CHBE1",5.72017344421065,-0.29189226792447,1.97793525585497,0,0,1,0
"CHBE120_CHBE120",5.34988089565829,1.09585299923074,1.44136919760745,0,0,1,0
"CHBE122_CHBE122",3.79882683190392,1.29589908650457,2.09216324051633,0,0,1,0
"CHBL3_CHBL3",5.73828974961731,-0.093014365157172,1.1798185811949,0,0,1,0
"CHCAS1_CHCAS1",4.22298941687886,0.735116740090225,0.603256514106916,0,0,1,0
"CHCAS2_CHCAS2",4.31727683355902,-0.493605031133873,1.2993481848811,0,0,1,0
"CHCAS4_CHCAS4",4.78575611596126,-0.144495458793587,2.75884960550335,0,0,1,0
"CHCAS7_CHCAS7",3.26137438916378,-0.839853021602904,0.426595276290787,0,0,1,0
"CHCAS8_CHCAS8",3.79555324218817,-0.20606633679378,0.891286080132008,0,0,1,0
"CHCH1_CHCH1",3.59273844773924,-1.29245216831722,1.34938878635145,0,0,1,0
"CHCH2_CHCH2",4.94496623164786,0.556831281331247,0.321745293376984,0,0,1,0
